"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"10/29/2025","10/29/2025","10/30/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.118543","$632.68","($75.00)"
"10/29/2025","10/29/2025","10/30/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.742942","$26.92","($20.00)"
"10/29/2025","10/29/2025","10/30/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.884093","$56.56","($50.00)"
"10/29/2025","10/29/2025","10/30/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.287059","$261.27","($75.00)"
"10/29/2025","10/29/2025","10/30/2025","","ACH Deposit","ACH","","","$1,100.00"
"10/28/2025","10/28/2025","10/29/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.118614","$632.30","($75.00)"
"10/28/2025","10/28/2025","10/29/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.738825","$27.07","($20.00)"
"10/28/2025","10/28/2025","10/29/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.88347","$56.60","($50.00)"
"10/28/2025","10/28/2025","10/29/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.28814","$260.29","($75.00)"
"10/27/2025","10/27/2025","10/28/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.11928","$628.77","($75.00)"
"10/27/2025","10/27/2025","10/28/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.739371","$27.05","($20.00)"
"10/27/2025","10/27/2025","10/28/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.884251","$56.54","($50.00)"
"10/27/2025","10/27/2025","10/28/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.290663","$258.03","($75.00)"
"10/24/2025","10/24/2025","10/27/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.12028","$623.54","($75.00)"
"10/24/2025","10/24/2025","10/27/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.738279","$27.09","($20.00)"
"10/24/2025","10/24/2025","10/27/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.887547","$56.34","($50.00)"
"10/24/2025","10/24/2025","10/27/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.294753","$254.45","($75.00)"
"10/24/2025","10/24/2025","10/27/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797","Buy","0.046699","$27.20","($1.27)"
"10/24/2025","10/24/2025","10/27/2025","","ACH Deposit","ACH","","","$1,100.00"
