"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"9/18/2025","9/18/2025","9/19/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.123001","$609.75","($75.00)"
"9/18/2025","9/18/2025","9/19/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","1.82083","$27.46","($50.00)"
"9/18/2025","9/18/2025","9/19/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.305306","$245.66","($75.00)"
"9/17/2025","9/17/2025","9/18/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.123293","$608.30","($75.00)"
"9/17/2025","9/17/2025","9/18/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","1.813565","$27.57","($50.00)"
"9/17/2025","9/17/2025","9/18/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.309508","$242.32","($75.00)"
"9/17/2025","9/17/2025","9/18/2025","","ACH Deposit","ACH","","","$1,000.00"
"9/16/2025","9/16/2025","9/17/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.123584","$606.87","($75.00)"
"9/16/2025","9/16/2025","9/17/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","1.824817","$27.40","($50.00)"
"9/16/2025","9/16/2025","9/17/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.308071","$243.45","($75.00)"
"9/16/2025","9/16/2025","9/16/2025","","Transfer from Brokerage to Brokerage","ITRF","","","($500.00)"
"9/16/2025","9/16/2025","9/16/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797","ITRF","365.7126","",""
"9/16/2025","9/16/2025","9/16/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649","ITRF","23.105","",""
"9/16/2025","9/16/2025","9/16/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363","ITRF","9.1545","",""
"9/16/2025","9/16/2025","9/16/2025","SPMO","Invesco S&P 500 Momentum ETF CUSIP: 46138E339","ITRF","0.2834","",""
